User Review,Star Rating,Date

Not even being able to install this addon in Office365 errors. Nothing decent in the help files to resolve. They should spend some time on creating a decent tep by step guide.,1 of 5,Oct 29 2021

Outlook is amazing HS extension - not so much. They really need to change so you can choose individual accounts to track.,1 of 5,Oct 29 2021

Outlook is working to a certain degree the issue I keep seeing is having email chains assigned to random deals companies and contacts.,2 of 5,Oct 28 2021

Real good use it daily and helps a lot with tasks that ussually are a pain to do,4 of 5,Oct 28 2021

Average . Should be better synced without having to go in and out of the system and the app,4 of 5,Oct 28 2021

Outlook is working perfectly fine. However I want to use the outlook from with CRM so that I can have everything in one place. I can only use a shared mailbox from within but I cannot use the personal (company) email id which defeats the whole purpose. Plus the account manager is more interested in selling the next level up subscriptions and cannot help with technical issues. Tried looking at the community but there is nothing. I am planning to upgrade the subscription but if this is how you treat your beginner/customer then I am really disappointed and will have to think twice before I upgrade.,1 of 5,Oct 28 2021

It's just a tool - but a necessary tool... When dealing with customers who also have Outlook it's important to match them,3 of 5,Oct 28 2021

really poor most of the time we have to turn on HubSpot add-ins manually although it is pinned after 2-3 emails it gets turned off and every time it requires manual action to turn it on.,2 of 5,Oct 27 2021

xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,4 of 5,Oct 27 2021

nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil',2 of 5,Oct 26 2021

Slows down outlook when I am logged in. Very cumbersome. Other than that I do not have many complaints..,1 of 5,Oct 25 2021

Keep asking me to log in how am is supposed to that 10 - 12 times every minute,1 of 5,Oct 24 2021

Average. The integration is mostly one way. It would be nice if there was some ability to add emails to HubSpot as needed and limit what is captured. Salesforce does a much better job of this.,4 of 5,Oct 22 2021

Outlook is fine but when I tried to send an email through HubSpot's Outlook integration to keep track of the emails regarding a support ticket two of the recipients I specified in the HubSpot mail client were missed out of the generated email and I did not realise until 3 days later when one of them emailed me asking for an update.,1 of 5,Oct 22 2021

Outlook werkt voor ons goed. Echter willen we zoveel mogelijk in HubSpot doen. Dit kan alleen niet omdat HubSpot teveel beperkingen heeft in het koppelen. Voornamelijk de agendafunctie ontbreekt volledig in HubSpot.,1 of 5,Oct 21 2021

Outlook is great it does what it is supposed to do. The HubSpot add-on slows Outlook down to a crawl. Outlook disables HubSpot all the time due to poor performance.,1 of 5,Oct 21 2021

Still in the trial phases at the moment but seems to be everything we could ever want from a CRM.,3 of 5,Oct 21 2021

We work in a super sucre environment and we have to use a remote desktop and VPN. Everytime we log onto our remote desktop a random server is attributed to us to increase productivity. The HubSpot integration will be disconnected because of that all the time. I need to reinstall and reauthenticate the integration quite frequently and it's really not ideal. Although I understand the issue is coming from our hardcore security measures it would be good if a lighter version of the tracker existed or a better way to integrate outlook-HubSpot was offered for super secured environment.,2 of 5,Oct 20 2021

Outlook serves the expected purpose of our needs and as a coorporation it is by all means a known software for a lot of people. We were happy to see that HubSpot integrated with Outlook - as the funktionalities make our logging and track of email communication linked to customers easy.,4 of 5,Oct 19 2021

Robuste but value added functions are missing (custom templates automated messaging...),1 of 5,Oct 18 2021

It is extremely slow in Mac after finally a few years delay e have the add on Juhu!!!!!! Unfortunately it crashes quite often in Windows since I am using both OS,1 of 5,Oct 18 2021

Ganz okey. Manchmal etwas mühsam dass man sich extra nochmals anmelden muss.,4 of 5,Oct 18 2021

Outlook is fine. The HubSpot add-in is terrible. My Outlook continually crashed and failed to open. I uninstalled the add-in after about a week.,1 of 5,Oct 18 2021

It doesn't save to the right deal all the time so have to keep changing it.,3 of 5,Oct 15 2021

Ottima connessione ma l'esperienza su Gmail è decisamente migliore. I comandi sono più comodi più visibili etc.,4 of 5,Oct 14 2021

The way this captures sales and marketing activity is fantastic. I wish it were a little more transparent about the activities it excludes; I'm never trusting that it's not capturing emails that are excluded from tracking in HS or when I remove the tracking tags.,4 of 5,Oct 14 2021

I could not connect the two which of course lead to me not using it at all.,1 of 5,Oct 14 2021

Outlook is niet mijn favoriete tool maar ik gebruik het omdat het goed met HubSpot zou samenwerken,2 of 5,Oct 13 2021

the add-in is not that bad but big issues: 1. you can't track emails that have been already sent 2. when you write an email containing bulletpoint lists and then you track it the bulletpoints disappear and have to add them again,3 of 5,Oct 13 2021

Nos apoya mucho en el seguimiento de los proyectos. Hay trazabilidad de hilos de conversación para saber el estado de cada negocio.,5 of 5,Oct 12 2021

The Outlook application keeps crashing on the local PC after the HubSpot connector has been installed.,1 of 5,Oct 12 2021

The integration is great but the fact that you don't really have a 2 way sync is very disappointing. Salesforce and every other CRM has a two way sync that matches the email address and automatically tracks the conversation instead of using a BCC which is tedious and makes it hard to keep unwanted contacts out of the CRM.,2 of 5,Oct 11 2021

The integration is not as intuitive as the one for Gmail - and has a tendency to stop working unexpectedly. Multiple sign ins are required...,3 of 5,Oct 11 2021

I have used Outlook for many years and it works well. The integration with HubSpot is very good.,5 of 5,Dec 8 2021

Je connais et j'utilise Outlook depuis très longtemps. Je tiens à garder ce programme.,2 of 5,Dec 7 2021

Works well though prefer gsuit overall because integrates better. But I use outlook for all of my emails and it seems to work fine and I like the HubSpot tab. I like being able to track emails and also use templates for all of my various emails related to my customers.,4 of 5,Dec 7 2021

Could be vastly improved. Every day when we come into work we have to open Outlook and then remember to open the HubSpot Sales Add-In. You then have to pin open the add-in every day and then click to log the email. By comparison Gmail opened automatically and would track unless you said otherwise which was much more efficient.,2 of 5,Dec 7 2021

Muito legal a funcionalidade de registrar interação no CRM do outlook porém a funcionalidade registra todos os contatos em cópia do e-mail que muitas vezes não são clientes seria excelente se fosse possível escolher a qual e-mail associar os registros e não associar em todos em cópia pois isso acaba sujando a base.,3 of 5,Dec 6 2021

Our company want the mails to track automatically without manually clicking on the subsport extension all the time. I am really suprised you havnt fix or prioritized this earlier there must have been other customers pointing out this issue.,1 of 5,Dec 6 2021

Outlook rocks - HubSpot plug in is not great. Use it for the convenience as that outweighs the inconveniences,3 of 5,Dec 6 2021

layout/formatting geht verloren ..........................................................,2 of 5,Dec 5 2021

Outlook hat leider keine geminsam nutzbare Kontaktbasis oder die Möglichkeit mails zuzuordnen. das gleicht HubSpot teils aus,3 of 5,Dec 3 2021

Encuentro el servicio Malo porque no he encontrado su correcta conexión con HubSpot,2 of 5,Dec 2 2021

Nada do que eu pretendia fazer com a integração está funcionando. E principalmente a parte de criar link automático de reunião agendada me causa um grande transtorno.,2 of 5,Dec 2 2021

Encuentro muy útil la integración sin embargo no es tan amigable ni intuitiva. Hay correos que no ha monitoreo a pesar de activar esa opción. Los correos que envió desde marketing los veo solo en HubSpot no en Outlook cosa que es necesaria puesto que quiero trabajar con esos correos desde Outlook.,3 of 5,Dec 2 2021

really good as it is easy of use. i dont see me using out mail systems for daily use,4 of 5,Dec 2 2021

There seems to be a lot of functionality with both Gmail and Outlook 365 but very little to none with Outlook Exchange which seems to still be in the beta version and with so many different workarounds involved to get the most basic of functionality,3 of 5,Dec 1 2021

I recently connected my outlook to HubSpot however; nothing is tracking. No conversation history no email logs etc. Its essentially useless at this time,1 of 5,Dec 1 2021

The Outlook side panel in HubSpot has limited functionality especially when compared with the similar function for the Salesforce side panel. You are not able to directly attach emails to a contact record or associate with an opportunity or other related item.,2 of 5,Nov 30 2021

Outlook works well for me enabling my thre edifferent work emails to be shown in one program,5 of 5,Nov 30 2021

Really wish Outlook had a way for Teams to connect with HubSpot meetings easily so that I could create meetings in HubSpot and have it sent to the right people and with a team meeting link automatically created. Gmail is so much better with HubSpot but unfortunately stuck with MS for now.,1 of 5,Nov 30 2021

Outlook is working ok. On the other hand (not that you are asking about it) but HubSpot add-on is making Outlook fail sometimes the sidebar seems to be full of bugs email texts are appearing behind the sidebar with me not being able to see the rest of the text if not shutting the addon down. Although this does happen only when my other addon "Grammarly" is enabled".,3 of 5,Nov 29 2021

Outlook is working well for client facing emails. It's a easy way to manage inbound.,2 of 5,Nov 29 2021

Still not a clean integration to capture emails to prospects. Sometimes it works and other times it doesn't. I have to waste time searching for instruction on how to connect HubSpot to Office 365.,2 of 5,Nov 24 2021

I have to log in with a security code every single day. It opens in Internet Explorer 11 which is not supported. Your tech people could not fix this.,1 of 5,Nov 24 2021

outlook + HubSpot is working very well. i like how it syncs emails to HubSpot,5 of 5,Nov 23 2021

Ha funcionado bien y me ayuda en lo que necesito para mis actividades de cada día,5 of 5,Nov 23 2021

How well is Outlook working for you - guess you mean the HubSpot add-in? Not at all - useless crashes Outlook repeatedly and cannot be used at all. Has to be disabled.,1 of 5,Nov 23 2021

sim - muito bom vamos continuar a usar a ferramenta desta fora proposta atrelado ao hub,4 of 5,Nov 23 2021

yes very good it helps to sync all devices and keep a very clean communication,2 of 5,Nov 23 2021

I have not received any the notifications I set up in HubSpot to notify me in outlook.,1 of 5,Nov 22 2021

Outlook works well now that I've disabled HubSpot. Have not had a great experience with HubSpot enabled.,2 of 5,Nov 22 2021

Pas intuitif. Information disséminée. Impossible de tracer une conversation retrouver une demande...,1 of 5,Nov 22 2021

trcyuhjnkmlihtrttyuijokiuyt6rfygygyufyufyfyufuyf fufuuyfuyfuyfyu uy f uyf uyfuyf uyfuyfu,1 of 5,Nov 19 2021

HubSpot integration with Outlook has been a gamechanger for my business. Now I can initiate emails out of HubSpot and use Outlook to follow on while HubSpot continues to track each of the exchanges. It is helping me transition from excel spreadsheets and Outlook to a more singular CRM system which is HubSpot. I am currently using the free plan and while most CRM free versions do not include Outlook integration HubSpot does. This is the single most useful feature for me and I am grateful to HubSpot for providing this great service to me for free as I work hard to grow my business. Thank you!,5 of 5,Nov 18 2021

HubSpot window pop open on every single email and slow other addons that are essential for me.,2 of 5,Nov 18 2021

Outlook bien. HubSpot no. Cuando quiero que un correo tenga seguimiento tarda mucho y en prenderse la instrucción. Y después de enviado se cambia el estilo y se quitan los Bullets,1 of 5,Nov 18 2021

HubSpot add-on on Outlook drastically slows down Outlook - this is the only drawback otherwise it is well intended product.,2 of 5,Nov 18 2021

HubSpot's outlook extension keeps asking me to log in every week. It's a bit annoying.,1 of 5,Nov 18 2021

While the functionality of the Gmail/Outlook email extensions should be the same HubSpot for Outlook must be manually "turned on" every time you access outlook or send an email. While this is a simple change retraining a sales team to manually open their HubSpot add-in is not a welcome one. "Pinning" the HubSpot pane so it stays open has performed inconsistently. I'm sure these issues are on Outlooks side as otherwise the HubSpot add-in works well but because tracking and logging is the basis of the tool and this is no longer guaranteed when opening Outlook it's value is greatly diminished. It not takes more clicks to log an email than it does to forward an email to the HubSpot forwarding address.,2 of 5,Nov 17 2021

As HubSpot keeps crashing my outlook it is Slowing me down . This is affecting my productivity,1 of 5,Nov 17 2021

Outlook very good and very useful for office work and for invite meetings and seeing mails,3 of 5,Nov 17 2021

There are many issues with this integration first of all it only logs emails when the HubSpot extension tab is open but if you pin it open it obscures the email drafting real estate. The meeting link is fine but it doesn't let the user reschedule the event.,2 of 5,Nov 17 2021

bien bien bien bien bien me parece biennnnnnnnnnn.................................................,4 of 5,Nov 15 2021

It was slightly unclear at first but I eventually saw that it would always stay active whenever opening Outlook which is better than having to always sign in when emails were through Gmail.,4 of 5,Nov 15 2021

Outlook is no problem,3 of 5,Nov 15 2021

isn't stable crashes serveral time a day/ is asking always (30 sec) for login because it does not safe the credentials it isn't possible to uncheck contact bar => which makes outlook also crashing,1 of 5,Nov 15 2021

It works decently well. My main issue is when creating an email it loads for a while and I have to sit and wait on the spinning ring to stop. Wish it worked more seamlessly.,2 of 5,Nov 12 2021

The over-all experience with Microsoft is mind-blowing from where they were in the 90s. No more upgrades to the software it is done now by subscription as the updates roll out they are instantly added to one's subscription for use. A lot cheaper than paying $500.00 for the software each year as before and the increased turnaround time when calling (30-minutes or less) for assistance with software issues is a game changer as well.,5 of 5,Nov 12 2021

After the installation you are pretty much ready to go. There's still a lot of features I don't use and default settings I had to change but in general it help the overall sales process.,4 of 5,Nov 12 2021

It started well but kept crashing my outlook so I had to turn it off. Fixed the issue immediately,1 of 5,Nov 12 2021

Outlook works well but the link between Outlook and HubSpot is not always consistent and causes Outlook to crash.,1 of 5,Nov 11 2021

Absolutely love this integration. It saves so much time and helps keep things organized. Suggestions: - track emails that were sent as BCC. - the ability to 'untrack' a certain email after it was sent with tracking on.,4 of 5,Nov 10 2021

The function is not as efficient as it could be. It would be nice if it was possible to exclude emails from specific senders or with specific subjects. Too many unnecessary tickets are created from unimportant emails.,3 of 5,Nov 10 2021

Easy to use excellent tool have made contracting and retaining customer information very easy,4 of 5,Nov 10 2021

Outlook is well functioning and coordinates well with HubSpot. Sometimes Outlook is crashing but this might be other reasons coming from the memory and not from Outlook itself.,5 of 5,Nov 10 2021

Not too different from other email accounts Outlook has the same tools as other email providers.,5 of 5,Nov 9 2021

Outlook has been my go to in all my decades in my sales career. It is easy to use. Best of all I can map my contacts from Outlook.,5 of 5,Nov 9 2021

Good. I like Outlook email. Works for our company. Combined with HubSpot it works well.,4 of 5,Nov 9 2021

good. easily keeps accounts and builds a task system to do and a history and marries to email/outlook 360,5 of 5,Nov 8 2021

Outlook me parece una herramienta muy útil de fácil uso para enviar y recibir correo,3 of 5,Nov 8 2021

The problem is not Outlook. The problem is HubSpot. I am a small business and I have no tech support. I have up to five separate email accounts running from one Outlook system. I find managing HubSpot linking it to the correct email account and denying it access to the others extremely difficult. I do not have time to fiddle with it and learn how to make it work. I need a simple system that will connect my email contacts to their messages and make it easy to track communications with them. HubSpot makes it hard because it wants to run my life rather than just to meet my needs. It is as good as any but it doesn't work for me.,2 of 5,Nov 8 2021

HubSpot is very easy to navigate user friendly and offers good functions even with the free version. However ever since adding the HubSpot integration into outlook it runs slow freezes and fails regularly requiring restart of outlook.,3 of 5,Nov 6 2021

generally happy but lacking features and requires too many logins. please pish to develop this excellent plugin further,5 of 5,Nov 5 2021

no value to my daily business. Not easy to install connect and use. so overall - poor,1 of 5,Nov 5 2021

Outlook is the granddaddy of business communication but is also lacking severely in modern workflows. MS is trying to accomodate that but overall it is still "oldschool",2 of 5,Nov 3 2021

Outlook allows us to manage our client communications and the link with HubSpot allows us to manage this.,4 of 5,Nov 3 2021

Early days using HubSpot can see it will go a long way to help grow the business and solid support Getting used do not like how Outlook the contact information doesn't follow with from one device to another.,4 of 5,Nov 2 2021

it is just an email platform nothing special it does not need to be integrated!,1 of 5,Nov 2 2021

What the heck who cares just get me to where I need to be why are you asking me this,5 of 5,Nov 2 2021

the add in always drops out and i have to re-upload it. the emails never link to the right accounts so i end up with 30 different wrong contacts on one account and it is a ball ache to try and correct. also if you don't correct this error these email will forever go to the wrong profile,1 of 5,Nov 2 2021

excellent its fast and efficient absolutely love it. my clients can email me and i can get hold of them very easily I send and receive emails very fast,5 of 5,Nov 2 2021

Outlook is the only application I use for emails and calendar events. Outlook makes it easy to keep control of my emails.,4 of 5,Nov 2 2021

Nice features to speed up some tasks but once you open the HubSpot plugin it slows the outlook tremendously that you can see the letters appearing on the screen one by one. I am using Outlook for Mac OS,2 of 5,Nov 2 2021

Outlook complet mais austère beaucoup de plantages avec exchange prise en main pas si intuitive,5 of 5,Nov 1 2021

Leider wieder nur eines von vielen CRM Programmen mit guten Ideen aber nicht vollständig.,2 of 5,Nov 1 2021

The integration could be done better on the new outlook for Mac. The gmail integration is better and wish to see those features in the Outlook addin.,1 of 5,Oct 30 2021

It's easy to sync the outlook and HubSpot emails with the connection. Sometimes mail are sent from HubSpot and sometimes from outlook depending on situation. With the systems synced I can see history from both places with ease.,4 of 5,Oct 29 2021

The HubSpot plugin has been quite unreliable and forces me to use Gmail with the HubSpot plugin instead when sending critical emails. - The HubSpot plugin keeps saying that my Outlook account is not linked to HubSpot until I click the "From" email address and re-select the same email address - The email attachments sometimes disappear and are not sent along the email - With the plugin active the CPU usage sometimes go very high and kills battery life - The plugin sometimes shows "No Tracker ID" error messages when trying to click the Track Email checkbox,2 of 5,Oct 29 2021

no problem with emails: easy to set up and synchronization works well No calendar invite appears in my Outlook calendar when scheduled from HubSpot,3 of 5,Oct 29 2021

Not even being able to install this addon in Office365 errors. Nothing decent in the help files to resolve. They should spend some time on creating a decent tep by step guide.,1 of 5,Oct 29 2021

Outlook is amazing HS extension - not so much. They really need to change so you can choose individual accounts to track.,1 of 5,Oct 29 2021

Outlook is working to a certain degree the issue I keep seeing is having email chains assigned to random deals companies and contacts.,2 of 5,Oct 28 2021

Real good use it daily and helps a lot with tasks that ussually are a pain to do,4 of 5,Oct 28 2021

Average . Should be better synced without having to go in and out of the system and the app,4 of 5,Oct 28 2021

Outlook is working perfectly fine. However I want to use the outlook from with CRM so that I can have everything in one place. I can only use a shared mailbox from within but I cannot use the personal (company) email id which defeats the whole purpose. Plus the account manager is more interested in selling the next level up subscriptions and cannot help with technical issues. Tried looking at the community but there is nothing. I am planning to upgrade the subscription but if this is how you treat your beginner/customer then I am really disappointed and will have to think twice before I upgrade.,1 of 5,Oct 28 2021

It's just a tool - but a necessary tool... When dealing with customers who also have Outlook it's important to match them,3 of 5,Oct 28 2021

really poor most of the time we have to turn on HubSpot add-ins manually although it is pinned after 2-3 emails it gets turned off and every time it requires manual action to turn it on.,2 of 5,Oct 27 2021

xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,4 of 5,Oct 27 2021

nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil'nihil',2 of 5,Oct 26 2021

Slows down outlook when I am logged in. Very cumbersome. Other than that I do not have many complaints..,1 of 5,Oct 25 2021

Keep asking me to log in how am is supposed to that 10 - 12 times every minute,1 of 5,Oct 24 2021

Average. The integration is mostly one way. It would be nice if there was some ability to add emails to HubSpot as needed and limit what is captured. Salesforce does a much better job of this.,4 of 5,Oct 22 2021

Outlook is fine but when I tried to send an email through HubSpot's Outlook integration to keep track of the emails regarding a support ticket two of the recipients I specified in the HubSpot mail client were missed out of the generated email and I did not realise until 3 days later when one of them emailed me asking for an update.,1 of 5,Oct 22 2021

Outlook werkt voor ons goed. Echter willen we zoveel mogelijk in HubSpot doen. Dit kan alleen niet omdat HubSpot teveel beperkingen heeft in het koppelen. Voornamelijk de agendafunctie ontbreekt volledig in HubSpot.,1 of 5,Oct 21 2021

Outlook is great it does what it is supposed to do. The HubSpot add-on slows Outlook down to a crawl. Outlook disables HubSpot all the time due to poor performance.,1 of 5,Oct 21 2021

Still in the trial phases at the moment but seems to be everything we could ever want from a CRM.,3 of 5,Oct 21 2021

We work in a super sucre environment and we have to use a remote desktop and VPN. Everytime we log onto our remote desktop a random server is attributed to us to increase productivity. The HubSpot integration will be disconnected because of that all the time. I need to reinstall and reauthenticate the integration quite frequently and it's really not ideal. Although I understand the issue is coming from our hardcore security measures it would be good if a lighter version of the tracker existed or a better way to integrate outlook-HubSpot was offered for super secured environment.,2 of 5,Oct 20 2021

Outlook serves the expected purpose of our needs and as a coorporation it is by all means a known software for a lot of people. We were happy to see that HubSpot integrated with Outlook - as the funktionalities make our logging and track of email communication linked to customers easy.,4 of 5,Oct 19 2021

Robuste but value added functions are missing (custom templates automated messaging...),1 of 5,Oct 18 2021

It is extremely slow in Mac after finally a few years delay e have the add on Juhu!!!!!! Unfortunately it crashes quite often in Windows since I am using both OS,1 of 5,Oct 18 2021

Ganz okey. Manchmal etwas mühsam dass man sich extra nochmals anmelden muss.,4 of 5,Oct 18 2021

Outlook is fine. The HubSpot add-in is terrible. My Outlook continually crashed and failed to open. I uninstalled the add-in after about a week.,1 of 5,Oct 18 2021

It doesn't save to the right deal all the time so have to keep changing it.,3 of 5,Oct 15 2021

Ottima connessione ma l'esperienza su Gmail è decisamente migliore. I comandi sono più comodi più visibili etc.,4 of 5,Oct 14 2021

The way this captures sales and marketing activity is fantastic. I wish it were a little more transparent about the activities it excludes; I'm never trusting that it's not capturing emails that are excluded from tracking in HS or when I remove the tracking tags.,4 of 5,Oct 14 2021

I could not connect the two which of course lead to me not using it at all.,1 of 5,Oct 14 2021

Outlook is niet mijn favoriete tool maar ik gebruik het omdat het goed met HubSpot zou samenwerken,2 of 5,Oct 13 2021

the add-in is not that bad but big issues: 1. you can't track emails that have been already sent 2. when you write an email containing bulletpoint lists and then you track it the bulletpoints disappear and have to add them again,3 of 5,Oct 13 2021

Nos apoya mucho en el seguimiento de los proyectos. Hay trazabilidad de hilos de conversación para saber el estado de cada negocio.,5 of 5,Oct 12 2021

The Outlook application keeps crashing on the local PC after the HubSpot connector has been installed.,1 of 5,Oct 12 2021

The integration is great but the fact that you don't really have a 2 way sync is very disappointing. Salesforce and every other CRM has a two way sync that matches the email address and automatically tracks the conversation instead of using a BCC which is tedious and makes it hard to keep unwanted contacts out of the CRM.,2 of 5,Oct 11 2021

The integration is not as intuitive as the one for Gmail - and has a tendency to stop working unexpectedly. Multiple sign ins are required...,3 of 5,Oct 11 2021

N/a . . ...........,2 of 5,Oct 8 2021

The integration does not work well it doesn't stay pinned it causes formatting issues IN the email itself. It takes 10x longer to type up an email just by having the sidebar open.,1 of 5,Oct 8 2021

Not ease to import and creat new contacts a lot repeted information must be entry acces to customer deals and documents attached difficult,2 of 5,Oct 8 2021

It is helpful to be able to track when emails were opened actions taken etc.,4 of 5,Oct 7 2021

Outlook Its ok works fine and attends my daily email needs. ssssssssssssssssssssssssssssssssssssssss,2 of 5,Oct 7 2021

Working excellent. Outlook is a great email communication tool for the business.,4 of 5,Oct 7 2021

Outlook is great and our main form of communication. Just could not get it to connect properly to HubSpot and didn't feel like we could get proper support at HubSpot to correct the problem. Super bummed.,1 of 5,Oct 7 2021

Very good experience in general. Outlook becomes a bit slower when HubSpot is embeded.,4 of 5,Oct 6 2021

The integration with Outlook is important but it isn't very smooth. I should clarify that we are using Outlook app on desktop not the webmail version. If the add-on is pinned it slows everything way down to the point where it takes longer to compose and send an email than if I just hopped over to HubSpot to copy a meeting or document link manually. It also strips random formatting out if you open the add-on after the initial email is composed. Overall we have to use it but it's not great.,3 of 5,Oct 5 2021

I'm going to be discontinuing using it as I have had clients who previously had no trouble receiving emails start having my emails go to their junk folder.,3 of 5,Oct 3 2021

I have used Outlook for many years and it works well. The integration with HubSpot is very good.,5 of 5,Dec 8 2021

Je connais et j'utilise Outlook depuis très longtemps. Je tiens à garder ce programme.,2 of 5,Dec 7 2021

Works well though prefer gsuit overall because integrates better. But I use outlook for all of my emails and it seems to work fine and I like the HubSpot tab. I like being able to track emails and also use templates for all of my various emails related to my customers.,4 of 5,Dec 7 2021

Could be vastly improved. Every day when we come into work we have to open Outlook and then remember to open the HubSpot Sales Add-In. You then have to pin open the add-in every day and then click to log the email. By comparison Gmail opened automatically and would track unless you said otherwise which was much more efficient.,2 of 5,Dec 7 2021

Muito legal a funcionalidade de registrar interação no CRM do outlook porém a funcionalidade registra todos os contatos em cópia do e-mail que muitas vezes não são clientes seria excelente se fosse possível escolher a qual e-mail associar os registros e não associar em todos em cópia pois isso acaba sujando a base.,3 of 5,Dec 6 2021

Our company want the mails to track automatically without manually clicking on the subsport extension all the time. I am really suprised you havnt fix or prioritized this earlier there must have been other customers pointing out this issue.,1 of 5,Dec 6 2021

Outlook rocks - HubSpot plug in is not great. Use it for the convenience as that outweighs the inconveniences,3 of 5,Dec 6 2021

layout/formatting geht verloren ..........................................................,2 of 5,Dec 5 2021

Outlook hat leider keine geminsam nutzbare Kontaktbasis oder die Möglichkeit mails zuzuordnen. das gleicht HubSpot teils aus,3 of 5,Dec 3 2021

Encuentro el servicio Malo porque no he encontrado su correcta conexión con HubSpot,2 of 5,Dec 2 2021

Nada do que eu pretendia fazer com a integração está funcionando. E principalmente a parte de criar link automático de reunião agendada me causa um grande transtorno.,2 of 5,Dec 2 2021

Encuentro muy útil la integración sin embargo no es tan amigable ni intuitiva. Hay correos que no ha monitoreo a pesar de activar esa opción. Los correos que envió desde marketing los veo solo en HubSpot no en Outlook cosa que es necesaria puesto que quiero trabajar con esos correos desde Outlook.,3 of 5,Dec 2 2021

really good as it is easy of use. i dont see me using out mail systems for daily use,4 of 5,Dec 2 2021

There seems to be a lot of functionality with both Gmail and Outlook 365 but very little to none with Outlook Exchange which seems to still be in the beta version and with so many different workarounds involved to get the most basic of functionality,3 of 5,Dec 1 2021

I recently connected my outlook to HubSpot however; nothing is tracking. No conversation history no email logs etc. Its essentially useless at this time,1 of 5,Dec 1 2021

The Outlook side panel in HubSpot has limited functionality especially when compared with the similar function for the Salesforce side panel. You are not able to directly attach emails to a contact record or associate with an opportunity or other related item.,2 of 5,Nov 30 2021

Outlook works well for me enabling my thre edifferent work emails to be shown in one program,5 of 5,Nov 30 2021

Really wish Outlook had a way for Teams to connect with HubSpot meetings easily so that I could create meetings in HubSpot and have it sent to the right people and with a team meeting link automatically created. Gmail is so much better with HubSpot but unfortunately stuck with MS for now.,1 of 5,Nov 30 2021

Outlook is working ok. On the other hand (not that you are asking about it) but HubSpot add-on is making Outlook fail sometimes the sidebar seems to be full of bugs email texts are appearing behind the sidebar with me not being able to see the rest of the text if not shutting the addon down. Although this does happen only when my other addon "Grammarly" is enabled".,3 of 5,Nov 29 2021

Outlook is working well for client facing emails. It's a easy way to manage inbound.,2 of 5,Nov 29 2021

Still not a clean integration to capture emails to prospects. Sometimes it works and other times it doesn't. I have to waste time searching for instruction on how to connect HubSpot to Office 365.,2 of 5,Nov 24 2021

I have to log in with a security code every single day. It opens in Internet Explorer 11 which is not supported. Your tech people could not fix this.,1 of 5,Nov 24 2021

outlook + HubSpot is working very well. i like how it syncs emails to HubSpot,5 of 5,Nov 23 2021

Ha funcionado bien y me ayuda en lo que necesito para mis actividades de cada día,5 of 5,Nov 23 2021

How well is Outlook working for you - guess you mean the HubSpot add-in? Not at all - useless crashes Outlook repeatedly and cannot be used at all. Has to be disabled.,1 of 5,Nov 23 2021

sim - muito bom vamos continuar a usar a ferramenta desta fora proposta atrelado ao hub,4 of 5,Nov 23 2021

yes very good it helps to sync all devices and keep a very clean communication,2 of 5,Nov 23 2021

I have not received any the notifications I set up in HubSpot to notify me in outlook.,1 of 5,Nov 22 2021

Outlook works well now that I've disabled HubSpot. Have not had a great experience with HubSpot enabled.,2 of 5,Nov 22 2021

Pas intuitif. Information disséminée. Impossible de tracer une conversation retrouver une demande...,1 of 5,Nov 22 2021

trcyuhjnkmlihtrttyuijokiuyt6rfygygyufyufyfyufuyf fufuuyfuyfuyfyu uy f uyf uyfuyf uyfuyfu,1 of 5,Nov 19 2021

HubSpot integration with Outlook has been a gamechanger for my business. Now I can initiate emails out of HubSpot and use Outlook to follow on while HubSpot continues to track each of the exchanges. It is helping me transition from excel spreadsheets and Outlook to a more singular CRM system which is HubSpot. I am currently using the free plan and while most CRM free versions do not include Outlook integration HubSpot does. This is the single most useful feature for me and I am grateful to HubSpot for providing this great service to me for free as I work hard to grow my business. Thank you!,5 of 5,Nov 18 2021

HubSpot window pop open on every single email and slow other addons that are essential for me.,2 of 5,Nov 18 2021

Outlook bien. HubSpot no. Cuando quiero que un correo tenga seguimiento tarda mucho y en prenderse la instrucción. Y después de enviado se cambia el estilo y se quitan los Bullets,1 of 5,Nov 18 2021

HubSpot add-on on Outlook drastically slows down Outlook - this is the only drawback otherwise it is well intended product.,2 of 5,Nov 18 2021

